model,accuracy,auc,precision,recall,f1,mcc
logreg,0.9009468317552805,0.800785340700033,0.6904761904761905,0.21875,0.3322422258592471,0.3515939208860422
decision_tree,0.8391599902889051,0.6187340057314025,0.30327056491575816,0.3297413793103448,0.31595250387196694,0.22525181198949826
knn,0.8971837824714737,0.7440191754328035,0.5838509316770186,0.30387931034482757,0.3997165131112686,0.37194533230817917
naive_bayes,0.8049283806749211,0.7754990654040286,0.31717824448034465,0.634698275862069,0.4229802513464991,0.348984982862235
random_forest,0.8979121145909201,0.7831144010330675,0.5919661733615222,0.3017241379310345,0.3997144896502498,0.3741727981334239
xgboost,0.9020393299344501,0.8034117912401528,0.6416861826697893,0.2952586206896552,0.4044280442804428,0.3912336234337395
